number;district_name;pop;percentage;osm_id
1;Altstadt;6027;0.034;R4191677
2;Schützenplatz;4737;0.0267;R4192349
3;Rotes Feld;4613;0.026;R4179678
4;Kreideberg;7914;0.0446;R4190260
5;Goseburg-Zeltberg;2777;0.0156;R4190217
6;Lüne-Moorfeld;4070;0.0229;R4192226
7;Neu Hagen;6520;0.0367;R4193262
8;Kaltenmoor;10093;0.0569;R4193220
9;Wilschenbruch;717;0.004;R4188902
10;Bockelsberg;5725;0.0323;R4188963
11;Mittelfeld;5475;0.0308;R4179538
12;Weststadt;4308;0.0243;R4189146
13;Ochtmissen;3201;0.018;R4190190
14;Ebensberg;1767;0.0099;R4192151
15;Häcklingen;2432;0.0137;R4186117
16;Rettmer;2588;0.0146;R4185974
17;Oedeme;5118;0.0288;R4185468
18;KL Amelinghausen;8388;0.0473;R1969558
19;KL Bardowick;18037;0.1017;R1969559
20;KL Dahlenburg;6198;0.0349;R1969564
21;KL Gellersen;14327;0.0808;R1969565
22;KL Ilmenau;10627;0.0599;R1969566
23;KL Ostheide;10335;0.0583;R1969583
24;KL Scharnebeck;15585;0.0879;R1969584
25;KL Adendorf;1089;0.0061;R1392133
26;KL Bleckede;9561;0.0539;R1837837
27;KL Amt Neuhaus;4986;0.0281;R1851834
